School Building Code,School Name,School Type,Address,City,State,Zip,District Name,County,Grade Levels,Number of K-12 (All Grades) Students Enrolled ,Number of K-12 (All Grades) Students Complete,Number of K-12 (All Grades) Students with any Exemption,Number of K-12 (All Grades) Students with Medical Exemption,Number of K-12 (All Grades) Students with Personal Exemption,Number of K-12 (All Grades) Students with Religious Exemption,Number of K-12 (All Grades) Students with Religious Membership Exemption,Number of K-12 (All Grades) Students Exempt for Diphtheria Tetanus,Number of K-12 (All Grades) Students Exempt for Pertussis,Number of K-12 (All Grades) Students Exempt for Polio,Number of K-12 (All Grades) Students Exempt for MMR,Number of K-12 (All Grades) Students Exempt for Hep B,Number of K-12 (All Grades) Students Exempt for Varicella
2912,Orchards Elementary School,Public School,11405 NE 69th Street,Vancouver,WA,98662,Evergreen School District (Clark),CLARK,K -5,591,486,39,1,32,4,2,32,32,30,32,30,38
4209,Pacific Middle School,Public School,2017 NE 172nd Avenue,Vancouver,WA,98684,Evergreen School District (Clark),CLARK,6-8,1016,370,62,3,54,6,0,48,46,46,51,37,15
4445,Pioneer Elementary School,Public School,7212 NE 166th Avenue,Vancouver,WA,98682,Evergreen School District (Clark),CLARK,K -5,632,447,73,3,60,7,3,65,64,65,67,59,70
3995,Riverview Elementary School,Public School,12601 SE Riverridge Drive,Vancouver,WA,98684,Evergreen School District (Clark),CLARK,K -5,472,409,9,1,8,0,0,7,6,10,9,6,8
4561,Shahala Middle School,Public School,601 SE 192nd Avenue,Vancouver,WA,98683,Evergreen School District (Clark),CLARK,6-8,1142,457,54,3,48,3,0,42,42,43,48,40,15
3149,Sifton Elementary School,Public School,7301 NE 137th Avenue,Vancouver,WA,98682,Evergreen School District (Clark),CLARK,K -5,500,410,34,3,31,0,0,24,24,23,24,19,32
3823,Silver Star Elementary School,Public School,10500 NE 86th Street,Vancouver,WA,98662,Evergreen School District (Clark),CLARK,K -5,462,369,43,0,36,5,3,37,36,36,36,33,41
3970,Sunset Elementary School,Public School,9001 NE 95th Street,Vancouver,WA,98662,Evergreen School District (Clark),CLARK,K -5,527,408,55,4,45,5,1,48,48,49,51,40,56
5111,Union High School,Public School,6201 NW Friberg-Strunk St,Camas,WA,98607,Evergreen School District (Clark),CLARK,9-12,2136,223,83,4,67,13,0,71,55,63,72,57,0
4051,Wyeast Middle School,Public School,1112 SE 136th Avenue,Vancouver,WA,98683,Evergreen School District (Clark),CLARK,6-8,868,271,34,2,31,2,0,23,22,20,23,21,6
4579,York Elementary School,Public School,9301 NE 152nd Avenue,Vancouver,WA,98682,Evergreen School District (Clark),CLARK,K -5,527,443,43,1,41,2,0,35,34,32,30,25,35
3197,Evergreen School,Public School,3342 Addy-Gifford Rd,Gifford,WA,99131,Evergreen School District (Stevens),STEVENS,K -6,27,18,5,0,2,0,3,5,5,5,5,5,5
8772,Christian Faith School,Private School,33645 20th Ave S,Federal Way,WA,98003,Federal Way School District,KING,P-12,217,177,39,3,33,3,0,34,36,36,34,36,37
803C,Slavic Gospel Church (SGC) Academy ,Private School,3405 S 336th St,Federal Way,WA,98001,Federal Way School District,KING,K-7,32,20,5,0,5,0,0,4,4,4,4,4,5
8077,St. Vincent De Paul School,Private School,30527 8th Ave S,Federal Way,WA,98003,Federal Way School District,KING,K-8,223,220,3,3,0,0,0,1,1,0,1,3,1
8944,Brooklake Christian School,Private School,629 S 356th St,Federal Way,WA,98003,Federal Way School District,KING,P-6,,,,,,,,,,,,,
8456,Evergreen Lutheran High School,Private School,2021 S 260th St,Des Moines,WA,98198,Federal Way School District,KING,9-12,,,,,,,,,,,,,
8295,Holy Innocents School of NW,Private School,2530 S 298th St,Federal Way,WA,98003,Federal Way School District,KING,K-12,,,,,,,,,,,,,
8535,Holy Trinity Lutheran School,Private School,2021 S 260th St,Des Moines,WA,98198,Federal Way School District,KING,P-8,,,,,,,,,,,,,
1474,Overcomer Academy,Private School,33415 Military Rd S,Auburn,WA,98001,Federal Way School District,KING,P-6,,,,,,,,,,,,,
8078,Spring Valley Montessori,Private School,36605 Pacific Hwy S,Federal Way,WA,98003,Federal Way School District,KING,P-8,,,,,,,,,,,,,
3519,Adelaide Elementary School,Public School,1635 SW 304th ST,Federal Way,WA,98023,Federal Way School District,KING,PK-5,409,395,14,1,13,0,0,8,8,8,6,8,11
3700,Brigadoon Elementary School,Public School,3601 SW 336th ST,Federal Way,WA,98023,Federal Way School District,KING,PK-5,300,272,5,0,5,0,0,4,4,3,4,1,3
3547,Camelot Elementary School,Public School,4041 S 298TH,Auburn,WA,98001,Federal Way School District,KING,PK-5,357,339,9,7,1,1,0,9,9,8,8,8,8
5163,Career Academy at Truman High School,Public School,31455 28th Ave S,Federal Way,WA,98003,Federal Way School District,KING,9-12,133,118,6,0,2,4,0,4,4,4,5,4,3
3766,Decatur High School,Public School,2800 SW 320TH ST,Federal Way,WA,98023,Federal Way School District,KING,9-12,1369,1282,26,3,22,1,0,13,15,14,18,18,0
2417,Federal Way High School,Public School,30611 16TH AV S,Federal Way,WA,98003,Federal Way School District,KING,9-12,1559,1419,47,5,35,7,0,34,34,24,43,28,18
1789,Federal Way Public Academy,Public School,34620 9TH AV S,Federal Way,WA,98003,Federal Way School District,KING,6-10,307,240,9,1,8,0,0,2,2,2,2,5,4
4426,Green Gables Elementary School,Public School,32607 47TH AVE SW,Federal Way,WA,98023,Federal Way School District,KING,PK-5,404,381,19,4,14,1,0,11,11,9,12,8,13
3898,Illahee Middle School,Public School,36001 1st AVE S,Federal Way,WA,98003,Federal Way School District,KING,5-8,755,613,30,12,16,2,0,21,21,20,21,21,16
3701,Kilo Middle School,Public School,4400 S 308TH ST,Auburn,WA,98001,Federal Way School District,KING,6-8,536,507,17,0,16,1,0,12,12,8,8,12,9
3738,Lake Dolloff Elementary School,Public School,4200 S 308TH ST,Auburn,WA,98001,Federal Way School District,KING,PK-5,400,387,17,6,9,2,0,13,13,13,13,12,17
3568,Lake Grove Elementary School,Public School,303 SW 308TH ST,Federal Way,WA,98023,Federal Way School District,KING,PK-5,425,416,9,2,7,0,0,6,6,5,5,6,5
2841,Lakeland Elementary School,Public School,35827 32ND AV S,Auburn,WA,98001,Federal Way School District,KING,PK-5,383,361,16,0,15,1,0,11,11,10,12,6,12
3381,Lakota Middle School,Public School,1415 SW 314TH ST,Federal Way,WA,98023,Federal Way School District,KING,6-8,768,722,23,1,20,1,1,18,18,12,17,11,5
3627,Mark Twain Elementary School,Public School,2450 S STAR LAKE RD,Federal Way,WA,98003,Federal Way School District,KING,PK-5,573,571,2,1,1,0,0,2,2,2,2,1,1
4340,Merit School,Public School,36001 1ST AV S,Federal Way,WA,98003,Federal Way School District,KING,6-12,11,11,0,0,0,0,0,0,0,0,0,0,0
3159,Mirror Lake Elementary School,Public School,625 S 314TH ST,Federal Way,WA,98003,Federal Way School District,KING,PK-5,437,412,11,1,9,0,1,6,6,6,6,3,10
3625,Nautilus K-8 School,Public School,1000 S 289TH ST,Federal Way,WA,98003,Federal Way School District,KING,K -8,508,455,25,9,15,1,0,24,24,24,24,25,24
3432,Olympic View Elementary School,Public School,2626 SW 327TH ST,Federal Way,WA,98023,Federal Way School District,KING,PK-5,418,401,13,7,6,0,0,4,4,4,4,5,12
3329,Panther Lake Elementary School,Public School,34424 1ST AV S,Federal Way,WA,98003,Federal Way School District,KING,PK-5,459,446,12,4,7,0,1,4,5,5,8,22,14
4422,Rainier View Elementary School,Public School,3015 S 368TH ST,Federal Way,WA,98003,Federal Way School District,KING,PK-5,375,355,19,2,17,0,0,13,13,12,14,9,16
3626,Sacajawea Middle School,Public School,1101 S DASH POINT RD,Federal Way,WA,98003,Federal Way School District,KING,6-8,836,748,23,8,15,0,0,12,12,15,11,9,5
5029,Sequoyah Middle School,Public School,3425 S 360th ST,Auburn,WA,98001,Federal Way School District,KING,6-8,569,502,16,3,13,0,0,7,8,8,8,5,3
4374,Sherwood Forest Elementary School,Public School,34600 12TH AV SW,Federal Way,WA,98023,Federal Way School District,KING,PK-5,479,430,13,3,7,1,2,13,13,12,12,12,12
4343,Silver Lake Elementary School,Public School,1310 SW 325TH ST,Federal Way,WA,98023,Federal Way School District,KING,PK-5,420,366,6,0,6,0,0,6,6,6,6,5,6
3160,Star Lake Elementary School,Public School,4014 S 270TH,Kent,WA,98031,Federal Way School District,KING,PK-5,499,477,13,0,10,3,0,14,14,11,8,18,10
3567,Sunnycrest Elementary School,Public School,24629 42ND AV S,Kent,WA,98032,Federal Way School District,KING,PK-5,563,537,11,1,7,0,3,9,8,9,9,10,11
5138,Technology Access Foundation Academy,Public School,26630 40th Ave S,Kent,WA,98032,Federal Way School District,KING,6-12,268,246,3,0,3,0,0,3,3,0,1,0,1
3584,Thomas Jefferson High School,Public School,4248 S 288TH ST,Auburn,WA,98001,Federal Way School District,KING,9-12,1751,1717,34,8,24,2,0,17,17,21,20,18,0
4570,Todd Beamer High School,Public School,35999 16TH AV S,Federal Way,WA,98003,Federal Way School District,KING,9-12,1824,1486,54,12,79,8,0,23,0,26,23,24,5
3431,Totem Middle School,Public School,26630 40TH AVE S,Kent,WA,98031,Federal Way School District,KING,6-8,598,472,9,1,7,1,0,7,7,4,5,6,1
3628,Twin Lakes Elementary School,Public School,4400 SW 320TH ST,Federal Way,WA,98023,Federal Way School District,KING,PK-5,377,343,23,0,21,2,0,15,15,13,16,9,22
3583,Wildwood Elementary School,Public School,2405 S 300TH ST,Federal Way,WA,98003,Federal Way School District,KING,PK-5,559,539,13,1,9,1,2,8,8,8,7,9,8
3328,Woodmont Elementary School,Public School,26454 16TH AV S,Des Moines,WA,98198,Federal Way School District,KING,K -8,505,430,6,0,6,0,0,6,6,6,6,6,6
4470,Enterprise Elementary School,Public School,35101 5TH AVE SW,Federal Way,WA,98023,Federal Way School District,KING,PK-5,,,,,,,,,,,,,
4456,Saghalie Middle School,Public School,33914 19TH AV SW,Federal Way,WA,98023,Federal Way School District,KING,6-8,,,,,,,,,,,,,
4480,Meredith Hill Elementary School,Public School,5830 S 300TH ST,Auburn,WA,98001,Federal Way School District,KING,PK-5,359,332,27,2,21,1,3,16,16,14,18,18,25
3582,Valhalla Elementary School,Public School,27847 42ND AV S,Auburn,WA,98001,Federal Way School District,KING,PK-5,627,588,20,5,15,0,0,16,16,16,17,13,19
8755,Baker View Christian School,Private School,5353 Waschke Rd,Bellingham,WA,98226,Ferndale School District,WHATCOM,P-8,39,36,2,0,1,1,0,0,0,0,0,1,1
1447,Pioneer Meadows Montessori School,Private School,2377 Douglas Rd,Ferndale,WA,98248,Ferndale School District,WHATCOM,P-6,81,63,18,0,18,0,0,10,11,11,13,13,18
