"school_year"	"school_code"	"school_name"	"school_type"	"school_city"	"school_state"	"school_zip"	"school_county"	"school_district"	"district_code"	"grade_levels"	"reported"	"enrolled"	"total_exemptions"	"medical_exempt"	"personal_exempt"	"religious_exempt"	"exempt_DTTd"	"exempt_pertussis"	"exempt_polio"	"exempt_MMR"	"exempt_hepB"	"exempt_varicella"	"percent_exempt_DTTd"	"percent_exempt_pertussis"	"percent_exempt_polio"	"percent_exempt_MMR"	"percent_exempt_hepB"	"percent_exempt_varicella"	"percent_exempt"
"39"	"2011"	"8469"	"All Saints School"	"Private School"	"Fife"	"WA"	"98424"	"PIERCE"	"Fife School District"	27417	"K-2"	"Yes"	130	5	0	4	1	5	5	5	5	5	5	3.85	3.85	3.85	3.85	3.85	3.85	3.85
"40"	"2011"	"8128"	"All Saints School"	"Private School"	"Puyallup"	"WA"	"98371"	"PIERCE"	"Puyallup School District"	27003	"3-8"	"No"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"41"	"2011"	"4454"	"Allen Creek Elementary School"	"Public School"	"Marysville"	"WA"	"98270"	"SNOHOMISH"	"Marysville School District"	31025	"K-5"	"Yes"	497	15	2	13	0	8	8	10	10	7	10	1.61	1.61	2.01	2.01	1.41	2.01	3.02
"42"	"2011"	"3603"	"Allen Elementary"	"Public School"	"BOW"	"WA"	"98232"	"SKAGIT"	"Burlington-Edison School District"	29100	"K-8"	"Yes"	313	18	4	9	5	9	9	10	12	13	7	2.88	2.88	3.19	3.83	4.15	2.24	5.75
"43"	"2011"	"1749"	"Alliance Academy"	"Public School"	"Bremerton"	"WA"	"98312"	"KITSAP"	"Bremerton School District"	18100	"K-8"	"No"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"44"	"2011"	"2968"	"Almira Coulee Hartline High School"	"Public School"	"Coulee City"	"WA"	"99115"	"GRANT"	"Coulee-Hartline School District"	13151	"9-12"	"No"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"45"	"2011"	"2860"	"Almira Elementary School"	"Public School"	"ALMIRA"	"WA"	"99103"	"LINCOLN"	"Almira School District"	22017	"K-8"	"Yes"	88	7	0	7	0	1	1	0	0	0	6	1.14	1.14	0	0	0	6.82	7.95
"46"	"2011"	"3825"	"Alpac Elementary School"	"Public School"	"PACIFIC"	"WA"	"98047"	"KING"	"Auburn School District"	17408	"K-5"	"Yes"	446	13	0	13	0	6	9	8	8	8	8	1.35	2.02	1.79	1.79	1.79	1.79	2.91
"47"	"2011"	"5188"	"Alt Ed at NV"	"Public School"	"Everson"	"WA"	"98247"	"WHATCOM"	"Nooksack Valley School District"	37506	"7-12"	"No"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"48"	"2011"	"8219"	"Alta Vista School"	"Private School"	"Bremerton"	"WA"	"98337"	"KITSAP"	"Bremerton School District"	18100	"7-12"	"No"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"49"	"2011"	"1567"	"Alternative Bancroft School"	"Public School"	"Spokane"	"WA"	"99205"	"SPOKANE"	"Spokane School District"	32081	"3-12"	"Yes"	71	3	0	3	0	2	2	2	2	3	0	2.82	2.82	2.82	2.82	4.23	0	4.23
"50"	"2011"	"2407"	"Alternative Education Program"	"Public School"	"WALLA WALLA"	"WA"	"99362"	"WALLA WALLA"	"Walla Walla Public Schools"	36140	"9-12"	"No"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"51"	"2011"	"3936"	"Alternative High School"	"Public School"	"SILVERDALE"	"WA"	"98383"	"KITSAP"	"Central Kitsap School District"	18401	"10-12"	"Yes"	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
