School Code	School Name	School Type	School District	County	Reported?	Data Source	Grade Levels	K-12 Number Enrolled	K-12 Number Complete	K-12 Number Exempt	K-12 Number Exempt: Medical	K-12 Number Exempt: Personal	K-12 Number Exempt: Religious	K-12 Number Exempt: Religious Member	K-12 Number Exempt: D/T	K-12 Number Exempt: Pertussis	K-12 Number Exempt: Polio	K-12 Number Exempt: MMR	K-12 Number Exempt: Hep B	K-12 Number Exempt: Varicella
4461	Vinland Elementary	Public	North Kitsap School District	KITSAP	Yes	XLSCSV	K -5	461	420	38	7	30	1	0	20	21	18	19	25	27
5125	Wade King Elementary School	Public	Bellingham School District	WHATCOM	Yes	XLSCSV	PK-5	461	409	51	8	45	0	0	18	16	23	20	33	36
2539	Grainger Elementary	Public	Okanogan School District	OKANOGAN	Yes	IIS	K -5	462	404	52	0	51	1	0	25	25	28	32	30	42
3737	Forks Elementary School	Public	Quillayute Valley School District	CLALLAM	Yes	Paper	PK-5	462	391	11	3	8	0	0	5	5	5	5	5	10
2070	Beacon Hill International School	Public	Seattle Public Schools	KING	Yes	XLSCSVSea	K -5	462	364	15	1	14	0	0	6	6	3	6	8	9
3612	Tumwater Middle School	Public	Tumwater School District	THURSTON	Yes	IIS	7-8	463	426	32	2	30	0	0	21	19	15	21	14	0
4483	Hallett Elementary	Public	Medical Lake School District	SPOKANE	Yes	IIS	PK-5	463	373	27	2	23	2	0	16	16	16	16	16	25
2143	John Muir Elementary School	Public	Seattle Public Schools	KING	Yes	XLSCSVSea	K -5	463	327	17	3	12	2	0	7	7	9	10	13	14
2904	Kiona-Benton City High	Public	Kiona-Benton City School District	BENTON	Yes	IIS	9-12	464	405	12	1	11	0	0	10	10	8	8	8	0
3041	Lakeview Elementary	Public	Lake Washington School District	KING	Yes	IIS	K -5	464	358	45	9	37	1	0	27	27	30	32	29	37
3328	Woodmont Elementary School	Public	Federal Way School District	KING	Yes	IIS	K -8	464	450	14	3	11	0	0	9	9	8	9	8	11
3377	Crescent Harbor Elem	Public	Oak Harbor School District	ISLAND	Yes	IIS	K -5	464	427	34	2	31	1	0	23	22	23	23	19	27
3388	Covington Elementary School	Public	Kent School District	KING	Yes	IIS	K -6	464	413	15	1	13	1	0	11	11	11	14	10	13
3995	Riverview Elementary School	Public	Evergreen School District (Clark)	CLARK	Yes	IIS	K -5	464	391	14	3	11	0	0	7	6	9	9	7	12
4126	Crestwood Elementary School	Public	Kent School District	KING	Yes	IIS	K -6	464	410	15	1	13	1	0	11	11	11	14	10	13
4135	Woodlands Elementary	Public	Central Kitsap School District	KITSAP	Yes	IIS	K -6	464	451	9	2	7	0	0	6	6	8	6	6	6
2853	View Ridge Elementary School	Public	Bremerton School District	KITSAP	Yes	XLSCSV	K -5	464	393	36	3	33	0	0	22	22	15	21	14	27
2954	Betz Elementary	Public	Cheney School District	SPOKANE	Yes	IIS	K -5	465	418	46	12	34	0	0	22	22	21	25	21	42
4366	Cascade View Elementary	Public	Snohomish School District	SNOHOMISH	Yes	IIS	K -6	465	432	33	5	26	1	1	15	13	18	16	18	25
4451	Mill Pond Elementary School	Public	Yelm School District	THURSTON	Yes	IIS	PK-6	465	390	33	6	22	5	1	13	15	15	19	11	28
2877	Elk Plain School of Choice	Public	Bethel School District	PIERCE	Yes	Paper	K -6	465	431	32	10	22	1	0	13	15	10	15	15	18
4424	Einstein Elementary	Public	Lake Washington School District	KING	Yes	IIS	K -5	466	421	29	5	24	1	0	20	21	20	18	19	19
4018	Dickinson Elementary	Public	Lake Washington School District	KING	Yes	Paper	K -5	466	334	25	4	20	1	0	20	20	20	21	17	19
2591	Naches Valley High School	Public	Naches Valley School District	YAKIMA	Yes	XLSCSV	9-12	466	445	19	0	19	0	0	10	9	6	9	12	0
2177	Mckinley Elementary School	Public	Yakima School District	YAKIMA	Yes	IIS	K -5	467	402	9	0	9	0	0	3	1	2	2	6	4
2669	Madison Elementary	Public	Everett School District	SNOHOMISH	Yes	Paper	PK-5	467	445	22	6	15	0	1	19	19	16	17	12	19
2874	Whitman Elementary School	Public	Tacoma School District	PIERCE	Yes	XLSCSV	PK-5	467	422	6	0	6	1	1	5	6	5	5	5	5
2092	Whittier Elementary School	Public	Seattle Public Schools	KING	Yes	XLSCSVSea	K -5	467	399	49	8	40	1	0	15	15	20	24	31	43
2139	Gatewood Elementary School	Public	Seattle Public Schools	KING	Yes	XLSCSVSea	K -5	467	330	30	2	27	1	0	19	20	19	21	21	27
2883	Hawthorne Elementary School	Public	Everett School District	SNOHOMISH	Yes	IIS	PK-5	468	445	23	11	12	0	0	13	13	12	16	5	17
4113	Granite Falls Middle School	Public	Granite Falls School District	SNOHOMISH	Yes	Paper	6-8	468	387	28	2	27	0	0	19	17	16	15	17	5
8043	Holy Rosary Elementary	Private	Seattle Public Schools	KING	Yes	Paper	K-8	468	453	1	0	1	0	0	1	1	1	1	1	1
1635	Interagency Programs	Public	Seattle Public Schools	KING	Yes	XLSCSVSea	6-12	468	277	29	1	28	0	0	20	22	9	15	19	74
5269	Westwood Middle School	Public	Cheney School District	SPOKANE	Yes	IIS	6-8	469	409	29	5	24	0	0	18	15	14	15	14	7
3440	Briarwood Elementary	Public	Issaquah School District	KING	Yes	XLSCSV	K -5	469	431	28	6	21	0	1	17	17	17	22	20	20
4332	Stillwater Elementary	Public	Riverview School District	KING	Yes	eFile	K -5	470	372	67	4	63	0	0	34	34	39	39	37	59
2554	Meridian High School	Public	Meridian School District	WHATCOM	Yes	IIS	9-12	470	432	26	4	21	3	0	18	18	13	18	18	6
3226	Cascade View Elementary	Public	Tukwila School District	KING	Yes	IIS	PK-5	470	436	8	4	3	1	0	2	2	2	5	5	3
2353	Maple Elementary School	Public	Seattle Public Schools	KING	Yes	XLSCSVSea	K -5	470	399	15	6	8	0	1	5	5	9	7	6	18
4550	Thunder Mountain Middle School	Public	Enumclaw School District	KING	Yes	IIS	6-8	471	424	37	6	32	0	0	21	20	18	16	21	8
2078	Green Park Elementary School	Public	Walla Walla Public Schools	WALLA WALLA	Yes	Paper	PK-5	471	416	27	1	23	3	0	24	24	23	23	18	26
2439	Bryn Mawr Elementary School	Public	Renton School District	KING	Yes	XLSCSV	K -5	471	446	9	1	9	0	0	5	5	4	3	7	6
3261	Deer Park Middle School	Public	Deer Park School District	SPOKANE	Yes	IIS	6-8	472	432	34	2	29	3	0	25	24	16	19	17	8
4511	Mount Baker Middle School	Public	Mount Vernon School District	SKAGIT	Yes	IIS	7-8	472	455	14	6	7	1	0	6	5	6	8	12	0
8087	St. Francis of Assisi School	Private	Highline School District	KING	Yes	IIS	K-8	472	371	8	0	8	0	0	2	2	3	5	8	6
8094	St. Louise School	Private	Bellevue School District	KING	Yes	IIS	P-8	472	466	6	1	5	0	0	4	4	5	5	5	6
3702	Tiffany Park Elementary School	Public	Renton School District	KING	Yes	XLSCSV	K -5	472	434	28	3	26	2	0	21	21	17	21	21	21
